alg;func;bit;time
sha256;Mining one block;256;97.66838192939758
sha256;Hash value computing;256;2.7894973754882812e-05
sha256;Hash value computing;256;2.1457672119140625e-05
ecdsa;Key pair generation;256;0.07698702812194824
ecdsa;Key pair generation;256;0.07860875129699707
ecdsa;Signing message;256;0.11522912979125977
ecdsa;Verifying signature;256;0.079925537109375
sha256;Hash value computing;256;2.6941299438476562e-05
sha256;Hash value computing;256;2.002716064453125e-05
ecdsa;Key pair generation;256;0.07977175712585449
ecdsa;Key pair generation;256;0.07962846755981445
ecdsa;Signing message;256;0.10799765586853027
ecdsa;Verifying signature;256;0.07855916023254395
sha256;Hash value computing;256;2.6464462280273438e-05
sha256;Hash value computing;256;1.9311904907226562e-05
ecdsa;Key pair generation;256;0.07652091979980469
ecdsa;Key pair generation;256;0.07529544830322266
ecdsa;Signing message;256;0.10202503204345703
ecdsa;Verifying signature;256;0.07813572883605957
sha256;Hash value computing;256;3.337860107421875e-05
sha256;Hash value computing;256;1.9788742065429688e-05
ecdsa;Key pair generation;256;0.07901811599731445
ecdsa;Key pair generation;256;0.07895445823669434
ecdsa;Signing message;256;0.10765886306762695
ecdsa;Verifying signature;256;0.07992219924926758
sha256;Proof of Work;256;197.74637913703918
sha256;Hash value computing;256;2.8371810913085938e-05
sha256;Mining one block;256;197.7523386478424
sha256;Hash value computing;256;2.6941299438476562e-05
sha256;Hash value computing;256;2.2649765014648438e-05
gost;Key pair generation;256;0.04235053062438965
gost;Key pair generation;256;0.04087686538696289
sha256;Hash value computing;256;2.7179718017578125e-05
sha256;Hash value computing;256;1.9073486328125e-05
gost;Key pair generation;256;0.04194521903991699
gost;Key pair generation;256;0.040712833404541016
sha256;Hash value computing;256;2.7418136596679688e-05
sha256;Hash value computing;256;1.8596649169921875e-05
ecdsa;Key pair generation;256;0.07329320907592773
ecdsa;Key pair generation;256;0.07315850257873535
ecdsa;Signing message;256;0.0990149974822998
ecdsa;Verifying signature;256;0.07633495330810547
sha256;Hash value computing;256;2.7179718017578125e-05
sha256;Hash value computing;256;1.9788742065429688e-05
gost;Key pair generation;256;0.04225802421569824
gost;Key pair generation;256;0.043202877044677734
gost;Signing message;256;0.08996844291687012
sha256;Hash value computing;256;2.574920654296875e-05
sha256;Proof of Work;256;0.042426347732543945
sha256;Hash value computing;256;3.528594970703125e-05
sha256;Mining one block;256;0.05223965644836426
sha256;Proof of Work;256;0.04443502426147461
sha256;Hash value computing;256;1.8835067749023438e-05
sha256;Mining one block;256;0.049997568130493164
sha256;Proof of Work;256;0.08446645736694336
sha256;Hash value computing;256;1.8358230590820312e-05
sha256;Mining one block;256;0.08992409706115723
sha256;Proof of Work;256;0.17548012733459473
sha256;Hash value computing;256;2.5033950805664062e-05
sha256;Mining one block;256;0.18093442916870117
sha256;Proof of Work;256;0.3609888553619385
sha256;Hash value computing;256;2.4557113647460938e-05
sha256;Mining one block;256;0.3666057586669922
sha256;Proof of Work;256;0.7209527492523193
sha256;Hash value computing;256;1.9073486328125e-05
sha256;Mining one block;256;0.7277107238769531
sha256;Proof of Work;256;1.2720000743865967
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Mining one block;256;1.282573938369751
sha256;Proof of Work;256;2.0275778770446777
sha256;Hash value computing;256;2.9325485229492188e-05
sha256;Mining one block;256;2.0352189540863037
sha256;Hash value computing;256;3.504753112792969e-05
sha256;Hash value computing;256;2.193450927734375e-05
gost;Key pair generation;256;0.044316768646240234
gost;Key pair generation;256;0.05421853065490723
gost;Signing message;256;0.09514045715332031
sha256;Proof of Work;256;3.5841493606567383
sha256;Hash value computing;256;2.2411346435546875e-05
sha256;Mining one block;256;3.590402364730835
sha256;Proof of Work;256;6.5684449672698975
sha256;Hash value computing;256;3.7670135498046875e-05
sha256;Mining one block;256;6.57452654838562
sha256;Proof of Work;256;11.516763687133789
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Mining one block;256;11.523679256439209
sha256;Hash value computing;256;2.5510787963867188e-05
sha256;Proof of Work;256;0.042882680892944336
sha256;Hash value computing;256;4.100799560546875e-05
sha256;Mining one block;256;0.05256080627441406
sha256;Proof of Work;256;0.04314708709716797
sha256;Hash value computing;256;1.7881393432617188e-05
sha256;Mining one block;256;0.049059152603149414
sha256;Proof of Work;256;0.08955812454223633
sha256;Hash value computing;256;1.9550323486328125e-05
sha256;Mining one block;256;0.09516549110412598
sha256;Proof of Work;256;0.1894376277923584
sha256;Hash value computing;256;3.409385681152344e-05
sha256;Mining one block;256;0.19656062126159668
sha256;Proof of Work;256;0.37403154373168945
sha256;Hash value computing;256;2.0265579223632812e-05
sha256;Mining one block;256;0.379971981048584
sha256;Proof of Work;256;0.7566854953765869
sha256;Hash value computing;256;1.9311904907226562e-05
sha256;Mining one block;256;0.7623379230499268
sha256;Proof of Work;256;1.2449960708618164
sha256;Hash value computing;256;2.0742416381835938e-05
sha256;Mining one block;256;1.251004934310913
sha256;Hash value computing;256;2.8371810913085938e-05
sha256;Hash value computing;256;2.1696090698242188e-05
gost;Key pair generation;256;0.04075026512145996
gost;Key pair generation;256;0.04326677322387695
gost;Signing message;256;0.0899958610534668
sha256;Proof of Work;256;2.0347001552581787
sha256;Hash value computing;256;1.811981201171875e-05
sha256;Mining one block;256;2.0409953594207764
sha256;Proof of Work;256;3.481174945831299
sha256;Hash value computing;256;3.147125244140625e-05
sha256;Mining one block;256;3.4921884536743164
sha256;Proof of Work;256;6.197186470031738
sha256;Hash value computing;256;1.71661376953125e-05
sha256;Mining one block;256;6.203580856323242
sha256;Proof of Work;256;11.896930932998657
sha256;Hash value computing;256;1.7642974853515625e-05
sha256;Mining one block;256;11.90835189819336
sha256;Proof of Work;256;22.705342292785645
sha256;Hash value computing;256;2.2172927856445312e-05
sha256;Mining one block;256;22.711273670196533
sha256;Proof of Work;256;45.35010838508606
sha256;Hash value computing;256;3.62396240234375e-05
sha256;Mining one block;256;45.36157727241516
sha256;Hash value computing;256;3.218650817871094e-05
sha512;Hash value computing;256;2.5033950805664062e-05
ecdsa;Key pair generation;256;0.07984328269958496
ecdsa;Key pair generation;256;0.08183646202087402
ecdsa;Signing message;256;0.10714292526245117
ecdsa;Verifying signature;256;0.08210420608520508
sha256;Proof of Work;256;97.61464357376099
sha256;Hash value computing;256;3.695487976074219e-05
sha256;Mining one block;256;97.62282156944275
sha256;Hash value computing;256;3.218650817871094e-05
sha256;Hash value computing;256;1.9550323486328125e-05
ecdsa;Key pair generation;256;0.07421350479125977
ecdsa;Key pair generation;256;0.07459211349487305
ecdsa;Signing message;256;0.1036078929901123
ecdsa;Verifying signature;256;0.08062100410461426
ecdsa;Key pair generation;256;0.06812477111816406
ecdsa;Key pair generation;256;0.07050967216491699
ecdsa;Signing message;256;0.0981287956237793
ecdsa;Verifying signature;256;0.07152819633483887
ecdsa;Key pair generation;256;0.07095146179199219
ecdsa;Key pair generation;256;0.07038593292236328
ecdsa;Signing message;256;0.09718966484069824
ecdsa;Verifying signature;256;0.07097768783569336
ecdsa;Key pair generation;256;0.0736393928527832
ecdsa;Key pair generation;256;0.07450628280639648
ecdsa;Signing message;256;0.10075926780700684
ecdsa;Verifying signature;256;0.07078123092651367
ecdsa;Key pair generation;256;0.07299470901489258
ecdsa;Key pair generation;256;0.07590055465698242
ecdsa;Signing message;256;0.10352683067321777
ecdsa;Verifying signature;256;0.08521509170532227
ecdsa;Key pair generation;256;0.0717625617980957
ecdsa;Key pair generation;256;0.07361221313476562
ecdsa;Signing message;256;0.10212373733520508
ecdsa;Verifying signature;256;0.07027268409729004
ecdsa;Key pair generation;256;0.07145357131958008
ecdsa;Key pair generation;256;0.0731348991394043
ecdsa;Signing message;256;0.10098147392272949
ecdsa;Verifying signature;256;0.07215642929077148
ecdsa;Key pair generation;256;0.0851442813873291
ecdsa;Key pair generation;256;0.07758378982543945
ecdsa;Signing message;256;0.10676980018615723
ecdsa;Verifying signature;256;0.0748140811920166
ecdsa;Key pair generation;256;0.07903623580932617
ecdsa;Key pair generation;256;0.07680344581604004
ecdsa;Signing message;256;0.10583305358886719
ecdsa;Verifying signature;256;0.07298946380615234
ecdsa;Key pair generation;256;0.07638430595397949
ecdsa;Key pair generation;256;0.07906222343444824
ecdsa;Signing message;256;0.10673713684082031
ecdsa;Verifying signature;256;0.07272601127624512
ecdsa;Key pair generation;256;0.07505130767822266
ecdsa;Key pair generation;256;0.07518124580383301
ecdsa;Signing message;256;0.10311722755432129
ecdsa;Verifying signature;256;0.07277631759643555
ecdsa;Key pair generation;256;0.0762183666229248
ecdsa;Key pair generation;256;0.08269762992858887
ecdsa;Signing message;256;0.1065213680267334
ecdsa;Verifying signature;256;0.07733154296875
ecdsa;Key pair generation;256;0.07458066940307617
ecdsa;Key pair generation;256;0.0774087905883789
ecdsa;Signing message;256;0.10688042640686035
ecdsa;Verifying signature;256;0.07603621482849121
ecdsa;Key pair generation;256;0.07485795021057129
ecdsa;Key pair generation;256;0.07985472679138184
ecdsa;Signing message;256;0.10827755928039551
ecdsa;Verifying signature;256;0.07310080528259277
ecdsa;Key pair generation;256;0.08093833923339844
ecdsa;Key pair generation;256;0.07850980758666992
ecdsa;Signing message;256;0.1101524829864502
ecdsa;Verifying signature;256;0.0833580493927002
ecdsa;Key pair generation;256;0.10165023803710938
ecdsa;Key pair generation;256;0.08251476287841797
ecdsa;Signing message;256;0.12990665435791016
ecdsa;Verifying signature;256;0.08588695526123047
ecdsa;Key pair generation;256;0.08032679557800293
ecdsa;Key pair generation;256;0.08395028114318848
ecdsa;Signing message;256;0.11536788940429688
ecdsa;Verifying signature;256;0.0912787914276123
ecdsa;Key pair generation;256;0.08165669441223145
ecdsa;Key pair generation;256;0.08211588859558105
ecdsa;Signing message;256;0.10850834846496582
ecdsa;Verifying signature;256;0.08459901809692383
sha256;Proof of Work;256;202.90452694892883
sha256;Hash value computing;256;5.626678466796875e-05
sha256;Mining one block;256;202.91147923469543
sha256;Hash value computing;256;2.6941299438476562e-05
sha256;Hash value computing;256;2.765655517578125e-05
gost;Key pair generation;256;0.045760154724121094
gost;Key pair generation;256;0.04168272018432617
gost;Signing message;256;0.0893104076385498
sha256;Hash value computing;256;2.5510787963867188e-05
sha512;Hash value computing;256;2.9325485229492188e-05
ecdsa;Key pair generation;256;0.0779268741607666
ecdsa;Key pair generation;256;0.07407903671264648
ecdsa;Signing message;256;0.10068798065185547
ecdsa;Verifying signature;256;0.07565450668334961
sha256;Hash value computing;256;2.8133392333984375e-05
sha512;Hash value computing;256;2.7418136596679688e-05
gost;Key pair generation;256;0.040485382080078125
gost;Key pair generation;256;0.03977012634277344
gost;Signing message;256;0.09590721130371094
sha256;Hash value computing;256;2.7179718017578125e-05
sha256;Hash value computing;256;3.266334533691406e-05
sha256;Hash value computing;256;3.0994415283203125e-05
keccak256;Hash value computing;256;0.0017180442810058594
sha256;Hash value computing;256;3.1948089599609375e-05
sha512;Hash value computing;256;2.4080276489257812e-05
gost;Key pair generation;256;0.0422821044921875
gost;Key pair generation;256;0.04199099540710449
gost;Signing message;256;0.09095001220703125
sha256;Hash value computing;256;2.6941299438476562e-05
scrypt;Hash value computing;256;0.6388974189758301
ecdsa;Key pair generation;256;0.07603216171264648
ecdsa;Key pair generation;256;0.07443594932556152
ecdsa;Signing message;256;0.10355210304260254
ecdsa;Verifying signature;256;0.07629132270812988
sha256;Hash value computing;256;3.123283386230469e-05
scrypt;Hash value computing;256;0.6717638969421387
gost;Key pair generation;256;0.04360628128051758
gost;Key pair generation;256;0.0411534309387207
gost;Signing message;256;0.08794426918029785
sha256;Hash value computing;256;2.86102294921875e-05
keccak256;Hash value computing;256;0.0018532276153564453
ecdsa;Key pair generation;256;0.07210683822631836
ecdsa;Key pair generation;256;0.07363438606262207
ecdsa;Signing message;256;0.10291647911071777
ecdsa;Verifying signature;256;0.07739448547363281
sha256;Hash value computing;256;2.765655517578125e-05
keccak256;Hash value computing;256;0.0016579627990722656
gost;Key pair generation;256;0.0401301383972168
gost;Key pair generation;256;0.03996992111206055
gost;Signing message;256;0.08896732330322266
sha256;Hash value computing;256;3.218650817871094e-05
sha256;Hash value computing;256;2.2172927856445312e-05
ecdsa;Key pair generation;256;0.07369208335876465
ecdsa;Key pair generation;256;0.07466888427734375
ecdsa;Signing message;256;0.10339164733886719
ecdsa;Verifying signature;256;0.07093191146850586
sha256;Hash value computing;256;2.86102294921875e-05
sha256;Proof of Work;256;414.0864119529724
sha256;Hash value computing;256;3.24249267578125e-05
sha256;Mining one block;256;414.09308218955994
sha256;Hash value computing;256;2.574920654296875e-05
sha256;Hash value computing;256;3.0517578125e-05
sha512;Hash value computing;256;2.6941299438476562e-05
sha512;Proof of Work;256;0.041834354400634766
sha512;Hash value computing;256;4.649162292480469e-05
sha512;Mining one block;256;0.05170774459838867
